video_id,channelId,title,video_id,liveBroadcastContent,definition,dimension,duration,relevantTopicIds
viyRD5z6ilQ,UCteMJzhMoMh1-WN6d2u6NEg,,,none,hd,2d,PT3M19S,"['/m/02mscn', '/m/04rlf', '/m/01lyv', '/m/02mscn', '/m/04rlf']"
QFfEtKvXMAs,UCPrwhIldj47n8JcqZ4Y_WFQ,,,none,hd,2d,PT3M52S,"['/m/04rlf', '/m/064t9', '/m/04rlf', '/m/064t9']"
xg9ebVTL9yE,UCGMTsjL8kDqIuYlRcFhda1g,,,none,hd,2d,PT3M15S,"['/m/04rlf', '/m/05rwpb', '/m/04rlf', '/m/05rwpb']"
fbHbTBP_u7U,UCI3H1FsjbdqGcLq93ZilV5g,,,none,hd,2d,PT3M36S,"['/m/0glt670', '/m/04rlf', '/m/064t9', '/m/04rlf', '/m/064t9', '/m/0glt670']"
Ja_GMU7-sjs,UCBJycsmduvYEL83R_U4JriQ,,,none,hd,2d,PT7M34S,"['/m/019_rr', '/m/07c1v', '/m/019_rr', '/m/07c1v']"
QOksZ8VogRw,UCe4LM_eKc9ywRmVuBm5pjQg,,,none,hd,2d,PT3M40S,"['/m/04rlf', '/m/05rwpb', '/m/04rlf', '/m/05rwpb']"
RYs08kX3Ih4,UCneR_qQ1NE_u9neBSEJJ7lg,,,none,hd,2d,PT10M38S,"['/m/019_rr', '/m/03glg', '/m/032tl', '/m/019_rr', '/m/032tl', '/m/03glg']"
tOFkFZbPdnQ,UCPVjQ58A0BujzVMEmFCJ3hA,,,none,hd,2d,PT16S,"['/m/019_rr', '/m/019_rr']"
dW4wpGg64pE,UCRXiA3h1no_PFkb1JCP0yMA,,,none,hd,2d,PT5M37S,"['/m/02jjt', '/m/02jjt']"
2VP846QcA_4,UCGGZ_POGmIWG1pQXTDzQv-g,,,none,hd,2d,PT16M2S,"['/m/02vxn', '/m/0f2f9', '/m/02jjt', '/m/02jjt', '/m/02vxn', '/m/0f2f9']"
_dhneCO4YEE,UC18vz5hUUqxbGvym9ghtX_w,,,none,hd,2d,PT5M46S,"['/m/0f2f9', '/m/02jjt', '/m/02jjt', '/m/0f2f9']"
EYkEshCOhEU,UCz0Qnv6KczUe3NH1wnpmqhA,,,none,hd,2d,PT13M45S,"['/m/019_rr', '/m/019_rr']"
Rq9-mW6HgQE,UCMtFAi84ehTSYSE9XoHefig,,,none,hd,2d,PT7M13S,"['/m/0f2f9', '/m/09kqc', '/m/02vxn', '/m/02jjt', '/m/02jjt', '/m/0f2f9', '/m/09kqc']"
k29YnfttqEU,UCa6vGFO9ty8v5KZJXQxdhaw,,,none,hd,2d,PT2M35S,"['/m/0f2f9', '/m/09kqc', '/m/02jjt', '/m/02jjt', '/m/09kqc', '/m/0f2f9']"
Eg_kW5fw6qU,UCKZo4N0lVPccBkSiuyVh4yg,,,none,hd,2d,PT8M32S,"['/m/02vxn', '/m/02jjt', '/m/02jjt', '/m/02vxn']"
J_QGZspO4gg,UCmKdSrwf1e8coqAzUsrVHZw,,,none,hd,2d,PT2M49S,"['/m/02mscn', '/m/04rlf', '/m/02mscn', '/m/04rlf']"
PkRBTF6nt4E,UC-5JG7ApVwWgIIg0bDSy5_Q,,,none,hd,2d,PT1M32S,"['/m/019_rr', '/m/07yv9', '/m/019_rr', '/m/07yv9']"
ozkqm2ifMw8,UCyjuFsbclXyntSRMBAILzbw,,,none,hd,2d,PT4M11S,"['/m/04rlf', '/m/0ggq0m', '/m/04rlf', '/m/0ggq0m']"
htvR_dBs3eg,UCt7fwAhXDy3oNFTAzF2o8Pw,,,none,hd,2d,PT6M22S,"['/m/04rlf', '/m/04rlf']"
qEEtzzi1EII,UCH6vXjt-BA7QHl0KnfL-7RQ,,,none,hd,2d,PT1M49S,"['/m/02jjt', '/m/02vxn', '/m/02jjt', '/m/02vxn']"
1Wk8ZRgXQnY,UCozJsFq5BE_nrVGr567EwOQ,,,none,hd,2d,PT3M41S,"['/m/04rlf', '/m/064t9', '/m/04rlf', '/m/064t9']"
8l_e6bx8UG8,UCvNnDoK1N5_dP6J_EtMsd7w,,,none,hd,2d,PT3M50S,"['/m/0glt670', '/m/04rlf', '/m/04rlf', '/m/0glt670']"
lsfzA7sWlOM,UCGIY_O-8vW4rfX98KlMkvRg,,,none,hd,2d,PT58S,"['/m/0bzvm2', '/m/0bzvm2']"
RQDphL2MVlM,UC_KQKeg7kNrlvrIXPnpwgEA,,,none,hd,2d,PT8M35S,"['/m/032tl', '/m/019_rr', '/m/019_rr', '/m/032tl']"
X7flefV8tec,UCi7GJNg51C3jgmYTUwqoUXA,,,none,hd,2d,PT6M43S,"['/m/098wr', '/m/098wr']"
cYw-oyJ7AEY,UCVWA4btXTFru9qM06FceSag,,,none,hd,2d,PT3M32S,"['/m/04rlf', '/m/064t9', '/m/04rlf', '/m/064t9']"
6nJw-jPQYVI,UCVUx0VcNxnHx7ZjuZK5Sthw,,,none,hd,2d,PT6M24S,"['/m/0f2f9', '/m/02jjt', '/m/02jjt', '/m/0f2f9']"
5x1FAiIq_pQ,UCK5X3f0fxO4YnVKVZP8p6hg,,,none,hd,2d,PT5M6S,"['/m/04rlf', '/m/04rlf']"
LMCuKltaY3M,UCmOFHvCruXt5NJmxS8HPoaA,,,none,hd,2d,PT2M26S,"['/m/04rlf', '/m/05rwpb', '/m/04rlf', '/m/05rwpb']"
6Detw08jRhs,UCvMZ15LHf_w3qVawWHbbiuA,,,none,hd,2d,PT1M1S,"['/m/04rlf', '/m/04rlf']"
vd4zwINEcLY,UCFL0FILdbQIxyer-oeurYKg,,,none,sd,2d,PT56S,"['/m/04rlf', '/m/04rlf']"
7fm7mll2qvg,UCTV0CAq7RoWSZSCXQ-4CCag,,,none,hd,2d,PT3M56S,"['/m/04rlf', '/m/064t9', '/m/04rlf', '/m/064t9']"
5gFpcEKayz4,UCtGsfvj155zp8maBFng9hHg,,,none,hd,2d,PT3M51S,"['/m/02lkt', '/m/04rlf', '/m/02lkt', '/m/04rlf']"
eHIY3HNNqzM,UCafVZzwtU8XUWbXGs4LYtdg,,,none,hd,2d,PT3M52S,"['/m/04rlf', '/m/064t9', '/m/04rlf', '/m/064t9']"
q-WipZ9p0wk,UCzH5n3Ih5kgQoiDAQt2FwLw,,,none,hd,2d,PT20M8S,"['/m/02wbm', '/m/019_rr', '/m/019_rr', '/m/02wbm']"
zy0b9e40tK8,UCWOA1ZGywLbqmigxE4Qlvuw,,,none,hd,2d,PT2M14S,"['/m/02vxn', '/m/02jjt', '/m/02jjt', '/m/02vxn']"
rL4WkebTT_U,UCHL9bfHTxCMi-7vfxQ-AYtg,,,none,hd,2d,PT9M6S,
Y6eKxjMA9ek,UCASjdyu0y8XQ9qJnqxsKHnQ,,,none,hd,2d,PT14M7S,"['/m/019_rr', '/m/03glg', '/m/019_rr', '/m/03glg']"
Q6Usd3_fbq8,UC8R8FRt1KcPiR-rtAflXmeg,,,none,hd,2d,PT3M51S,"['/m/04rlf', '/m/0ggq0m', '/m/04rlf', '/m/0ggq0m']"
44NYFvhXmW8,UC6ljvocrnN_0hA3PXr7W5rw,,,none,hd,2d,PT4M9S,"['/m/06by7', '/m/04rlf', '/m/05rwpb', '/m/04rlf', '/m/05rwpb']"
9wg3v-01yKQ,UCbOCbp5gXL8jigIBZLqMPrw,,,none,hd,2d,PT3M3S,"['/m/06by7', '/m/04rlf', '/m/04rlf', '/m/06by7']"
F-j_6IuaYfw,UCutXfzLC5wrV3SInT_tdY0w,,,none,hd,2d,PT6M39S,"['/m/02vxn', '/m/0f2f9', '/m/02jjt', '/m/02jjt', '/m/0f2f9']"
_qSW96a2aKY,UCHYqkMN0UwbyN0krs1pahXQ,,,none,hd,2d,PT3M15S,"['/m/01lyv', '/m/04rlf', '/m/04rlf', '/m/01lyv']"
afgvlR9WmIQ,UCN1hnUccO4FD5WfM7ithXaw,,,none,hd,2d,PT3M58S,"['/m/04rlf', '/m/064t9', '/m/04rlf', '/m/064t9']"
_CJN_ryETIY,UC2WY0Kkfhi3sm4P25MnjhpA,,,none,hd,2d,PT5M40S,"['/m/064t9', '/m/04rlf', '/m/04rlf', '/m/064t9']"
P4YJwy_T9pM,UCc6BTuuTzfMLKj_RgwuDnQw,,,none,hd,2d,PT13M52S,"['/m/032tl', '/m/019_rr', '/m/019_rr', '/m/032tl']"
YqH4eWR7jDQ,UCjBdRnkOB5P85yki3rAvGUw,,,none,sd,2d,PT1M21S,
r96KpNTcog4,UC3Liv5-jdU2Qk53lTtYDG2w,,,none,hd,2d,PT6M29S,['/m/02vxn']
B4gXsobd_ao,UC7IcJI8PUf5Z3zKxnZvTBog,,,none,hd,2d,PT4M30S,
x8eLIJAM58M,UCj7V_ikJOXO9RC8at6kYfHQ,,,none,hd,2d,PT2M1S,"['/m/0f2f9', '/m/02jjt', '/m/02jjt', '/m/0f2f9']"
6V_aZsATDsM,UCFCoIAAiD3nOELLGgpWzWeQ,,,none,hd,2d,PT10M18S,
